,Title,Director,Cast,Genre,Date,Year
2633,Jabili,S. V. Krishna Reddy,"Dileep, Rekha Vedavyas",Romance,29.0/NOV/2001,2001
2634,Paravasam,K.Balachander,"R. Madhavan, Simran Bagga, Sneha, Lawrence Raghavendra",Romance,14.0/NOV/2001,2001
2635,Athanu,Satyam Babu,"Sai Kumar, Rachana, Ravi Varma",Drama,30.0/NOV/2001,2001
2636,Little Hearts,Srikanth,"R. Venkateswar, Gayathri Priya, Murali Mohan, M. S. Narayana",Educational,30.0/NOV/2001,2001
2637,Bhadrachalam,N.Shankar,"Srihari, Sindhu Menon",Action,6.0/DEC/2001,2001
2638,Hanuman Junction,Mohan Raja,"Jagapati Babu, Arjun",Drama,21.0/DEC/2001,2001
2639,Subbu,Rudraraju Suresh Varma,"Jr. NTR, Sonali Joshi",Action,21.0/DEC/2001,2001
2640,Darling Darling,V. Samudra,"Srikanth, Shaheen Khan, Sai Kiran",Romance,30.0/DEC/2001,2001
2641,Ishtam,Vikram Kumar,"Charan, Shriya Saran",Romance,30.0/DEC/2001,2001
2642,,,,,nan/DEC/2001,2001
2643,,,,,nan/DEC/2001,2001
2644,,,,,nan/DEC/2001,2001
2645,,,,,nan/DEC/2001,2001
2646,,,,,nan/DEC/2001,2001
2647,,,,,nan/DEC/2001,2001
2648,Seema Simham,G. Ram Prasad,"Nandamuri Balakrishna, Simran, Reemma Sen, P. Vasu",Action,11/JAN/2002,2002
2649,Takkari Donga,Jayanth C. Paranjee,"Mahesh Babu, Lisa Ray, Bipasha Basu, Krishna Ghattamaneni",Action,12/JAN/2002,2002
2650,Nuvvu Leka Nenu Lenu,Y. Kasi Viswanath,"Tarun, Aarthi Agarwal, Laya, Sarath Babu",Romance,14/JAN/2002,2002
2651,Premaku Swagatam,S. V. Krishna Reddy,"J. D. Chakravarthy, Soundarya",Romance,18/JAN/2002,2002
2652,Priya Nestama,R. Ganapathy,"Venu, Malavika, Shama",Romance,25/JAN/2002,2002
2653,O Chinnadana,E. Sathibabu,"Srikanth, Raja, Gajala, Asha Saini, Shruthi Raj",Comedy,25/JAN/2002,2002
2654,Neethone Vuntanu,T. Prabhakar,"Upendra, Sanghavi, Rachana Banerjee",Romance,1/FEB/2002,2002
2655,Raghava,Y. Nageswara Rao,"Suresh, Rajasri, Kota Srinivasa Rao, Brahmanandam",Drama,1/FEB/2002,2002
2656,Kalusukovalani,Raghu Raj,"Uday Kiran, Gajala, Pratyusha",Romance,8/FEB/2002,2002
2657,Kondaveeti Simhasanam,Dasari Narayana Rao,"Mohan Babu, Soundarya, Udaya Bhanu",Action,8/FEB/2002,2002
2658,Nenu Ninnu Premistunnanu,G. Haribabu,"Prasanna, Keerthi Shaheen, Amrutha, Ahuti Prasad",Romance,14/FEB/2002,2002
2659,Chandravamsam,J. K. Bharavi,"Krishna Ghattamaneni, Jaya Pradha, Sivaji, Rohith",Drama,15/FEB/2002,2002
2660,Action No. 1,,"Ram, Lakshman, Thriller Manju",Action,15/FEB/2002,2002
2661,Ramana,Siva Nageswara Rao,"Rajendra Prasad, Mahi, Brahmanandam, Tanikella Bharani",Action / Comedy,26/FEB/2002,2002
2662,Lagna Patrika,Subburaju,"Babloo Prithviraj, Sanghavi, Brahmanandam, Phaniraj Kumar",Romance,26/FEB/2002,2002
2663,Seshu,Jeevitha Rajashekar,"Rajasekhar, Kalyani, Nassar",Action,28/FEB/2002,2002
2664,Nee Premakai,Muppulaneni Siva,"Vineeth, Abbas, Laya, Sonia Agarwal",Romance,1/MAR/2002,2002
2665,Parasuram,,"Srihari, Sanghavi",Action,7/MAR/2002,2002
2666,Neetho Cheppalani,B. Satya Naidu,"Akash, Anupriya, Ashita",Romance,8/MAR/2002,2002
2667,Naga Pratista,,"Raasi, Sreejith",Drama,9/MAR/2002,2002
2668,Mee Kosam,V. Janardhan,"Ramyasri, Samaram, Sharmila",Documentary,15/MAR/2002,2002
2669,Nuvvunte Chaalu,Achyuth Reddy,"Adarsha, Sonali Raj",Romance,22/MAR/2002,2002
2670,Entha Bagundo,Bharadwaja Thammareddy,"Sai Kiran, Rohith, Laya",Romance,22/MAR/2002,2002
2671,Chelia Chelia Chiru Kopama,Sai Shyam,"Nivas, Shikha Sinha",Romance,22/MAR/2002,2002
2672,Aadi,V. V. Vinayak,"Jr. NTR, Keerthi Chawla",Action,28/MAR/2002,2002
2673,Nee Thodu Kavali,Bheemaneni Srinivas Rao,"Deepak, Charmy Kaur, Rimi Sen",Romance,28/MAR/2002,2002
2674,Aaduthu Paaduthu,Devi Prasad,"Srikanth, Sunil, Gayatri Jayaraman",Romance,4/APR/2002,2002
2675,Vasu,A. Karunakaran,"Venkatesh, Bhoomika Chawla",Romance,10/APR/2002,2002
2676,Priyadarshini,Dhavala Mallik,"Surya Vamsi, Sunitha Varma, Brahmanandam",Drama,10/APR/2002,2002
2677,Bejawada Police Station,Chimakurthi Hari Babu,"Keshav, Shilpa Shivanand, Brahmaji, Ali, Chinna",Drama,13/APR/2002,2002
2678,Friends,,"Sivaji, Ali",Comedy,13/APR/2002,2002
2679,Narahari,Thriller Manju,"Sai Kumar, Thriller Manju, Sreedevi",Action,19/APR/2002,2002
2680,Manasunte Chaalu,Jonnalagadda Srinivasa Rao,"Sai Kiran, Sivaji, Jennifer Kotwal",Romance,25/APR/2002,2002
2681,Mounamelanoyi,Shyam Prasad,"Sachin, Sampadha, Chalapathi Rao",Romance,25/APR/2002,2002
2682,Lahiri Lahiri Lahirilo,Y. V. S. Chowdary,"Nandamuri Harikrishna, Bhanupriya, Rachana Banerjee, Ankitha",Drama,1/MAY/2002,2002
2683,Vendi Mabbulu,Raviraja Pinisetty,"Balayya, Pulakit, Anil, Mona Chopra, Meghana Naidu, Mitika",Romance,3/MAY/2002,2002
2684,Santosham,Dasaradh,"Nagarjuna, Gracy Singh, Prabhu Deva, Shriya Saran",Drama,9/MAY/2002,2002
2685,Allari,Ravi Babu,"Naresh, Anuradha Mehta",Comedy,10/MAY/2002,2002
2686,Manasutho,Ravi Kumar Chowdary,"Jai Akash, Arzoo Govitrikar, Khayyam",Romance,17/MAY/2002,2002
2687,Sahasa Baludu Vichitra Kothi,Dasharatha Raju,"Vijayashanti, Brahmanandam, Sarath Babu, Sudha",Adventure,17/MAY/2002,2002
2688,Tappu Chesi Pappu Koodu,A. Kodandarami Reddy,"Mohan Babu, Srikanth, Gracy Singh",Comedy,22/MAY/2002,2002
2689,Hai,E. V. V. Satyanarayana,"Aryan Rajesh, Nikita Thukral",Romance,24/MAY/2002,2002
2690,Vooru Manadiraa,R. Narayana Murthy,"R. Narayana Murthy, Siddappa Naidu",Drama,31/MAY/2002,2002
2691,Devi Nagamma,Alahari,"Prema, Baby Deepika, Jackie, Mani Chandana, Mada, Somayajulu, Jeeva",Drama,1/JUN/2002,2002
2692,Adrustam,Sekhar Suri,"Tarun, Gajala, Reemma Sen, Asha Saini",Romance,6/JUN/2002,2002
2693,Jayam,Teja,"Nitin, Sadha, Tottempudi Gopichand",Action / Romance,14/JUN/2002,2002
2694,Hrudayanjali,A. Raghurami Reddy,"Sanjay Mitra, Girija Shettar",Romance,14/JUN/2002,2002
2695,Sreeram,V. N. Aditya,"Uday Kiran, Anitha Hassanandani, Ashish Vidyarthi",Romance,21/JUN/2002,2002
2696,Neetho,B. Satya Naidu,"Suryaprakash, Ashita, Anu Priya, Giribabu, Sudhakar",Drama,27/JUN/2002,2002
2697,Kanulu Moosina Neevaye,Manjula Naidu,"Deepak, Archana",Romance,28/JUN/2002,2002
2698,Janam,Ayyappa P. Sharma,"Sai Kumar, Vani Viswanath, Thriller Manju, Zarina",Action,5/JUL/2002,2002
2699,Girl Friend,G. Nageswara Reddy,"Rohith, Anitha Patil",Romance,5/JUL/2002,2002
2700,Allari Ramudu,B. Gopal,"Jr. NTR, Aarti Agarwal, Gajala",Action,18/JUL/2002,2002
2701,Indra,B. Gopal,"Chiranjeevi, Sonali Bendre, Aarti Agarwal",Action/Drama,24/JUL/2002,2002
2702,Avunu Valliddaru Ista Paddaru!,Vamsi,"Ravi Teja, Kalyani",Romance,2/AUG/2002,2002
2703,Ninne Cherukunta,,"Revanth, Shwetha, Chandra Mohan",Romance,3/AUG/2002,2002
2704,Kuchi Kuchi Koonamma,Ashok Kumar,"Jakeer, Siri, K. Viswanath",Romance,9/AUG/2002,2002
2705,Idiot,Puri Jagannadh,"Ravi Teja, Rakshita",Action / Romance,22/AUG/2002,2002
2706,Sontham,Srinu Vaitla,"Aryan Rajesh, Namitha, Rohith, Sunil",Romance,22/AUG/2002,2002
2707,Holi,Vara Prasad,"Uday Kiran, Richa Pallod, Sunil",Romance,30/AUG/2002,2002
2708,Prudhvi Narayana,P. Vasu,"Srihari, Vijayalakshmi, Meghana Naidu, Lakshmi",Action,30/AUG/2002,2002
2709,Prema Sakshiga,V. Jyothi Kumar,"Vijay, Swetha, Anjali, Sraavan",Romance,30/AUG/2002,2002
2710,Bharata Simha Reddy,Surya Prakash,"Rajasekhar, Meena, Gajala, Ravali, Brahmanandam",Action,6/SEP/2002,2002
2711,Manamiddaram,Gosangi Subba Ra,"Raja Sridhar, Sonali Joshi, Lahari",Romance,13/SEP/2002,2002
2712,Khaidi Brothers,Sahar,"Sai Kumar, Lakshman, Ram, Surya Prakash, Rekha",Action,13/SEP/2002,2002
2713,Okato Number Kurraadu,A. Kodandarami Reddy,"Nandamuri Taraka Ratna, Rekha Vedavyas, Brahmanandam",Action / Romance,18/SEP/2002,2002
2714,Chennakeshava Reddy,V. V. Vinayak,"Nandamuri Balakrishna, Shriya Saran, Tabu, Devayani",Action,25/SEP/2002,2002
2715,Malli Malli Chudali,Pawan Sridhar,"Venu, Janani",Romance,25/SEP/2002,2002
2716,Aahuti,Y. Sai Nivas,Chandra Babu,Drama,25/SEP/2002,2002
2717,Prema Donga,Ramana,"Srihari, Soundarya, Vinod",Action,2/OCT/2002,2002
2718,Janda,Kodi Ramakrishna,"Ajju, Sravan, Akrithi",Action,2/OCT/2002,2002
2719,Nuvve Nuvve,Trivikram Srinivas,"Tarun, Shriya Saran, Prakash Raj",Romance,10/OCT/2002,2002
2720,Gemeni,Saran,"Venkatesh, Namitha, Mumtaj",Action,11/OCT/2002,2002
2721,"Dhanalakshmi, I Love You",Siva Nageswara Rao,"Allari Naresh, Aditya Om, NAresh, Ankitha",Romance,18/OCT/2002,2002
2722,Pilisthe Palukutha,Kodi Ramakrishna,"Jai Akash, Shamita Shetty",Romance,18/OCT/2002,2002
2723,Police Sisters,Vikki,"Roja, Raasi, Sridhar, Brahmanandam",Action,18/OCT/2002,2002
2724,Bobby,Sobhan,"Mahesh Babu, Aarti Agarwal",Action,31/OCT/2002,2002
2725,Nee Sneham,Parichuri Murali,"Uday Kiran, Aarti Agarwal, Jatin Grewal",Romance,1/NOV/2002,2002
2726,Siva Rama Raju,V. Samudra,"Jagapathi Babu, Mounika, Venkat, Nandamuri Harikrishna",Action,1/NOV/2002,2002
2727,Eeswar,Jayanth C. Paranjee,"Prabhas, Sridevi Vijayakumar, Revathi",Action / Romance,10/NOV/2002,2002
2728,2 Much,K. Veeru,"Balakumar, Ruthika, Ali",,22/NOV/2002,2002
2729,Khadgam,Krishna Vamshi,"Ravi Teja, Srikanth, Sonali Bendre, Prakash Raj, Kim Sharma, Sangeetha",Action,29/NOV/2002,2002
2730,Yuva Rathna,U. Narayana Rao,"Nandamuri Taraka Ram, Jeevitha",Action,29/NOV/2002,2002
2731,Thotti Gang,E. V. V. Satyanarayana,"Allari Naresh, Prabhu Deva, Sunil, Anitha, Gajala",Romance,6/DEC/2002,2002
2732,Trinetram,Kodi Ramakrishna,"Sijju, Raasi",Action,6/DEC/2002,2002
2733,Sandade Sandadi,Muppalaneni Siva,"Rajendra Prasad, Jagapathi Babu, Raasi",Comedy,13/DEC/2002,2002
2734,Coolie,,"Srihari, Raasi, Mumtaj",Action,13/DEC/2002,2002
2735,Premalo Pavani Kalyan,Polur Ghatikachalam,"Deepak, Ankitha",Romance,13/DEC/2002,2002
2736,Manmadhudu,K. Vijaya Bhaskar,"Nagarjuna, Sonali Bendre, Anshu",Romance,20/DEC/2002,2002
2737,Ninnu Choodaka Nenundalenu,R. Srinivas,"Sachin, Bhavana Pani",Romance / Drama,20/DEC/2002,2002
2738,Anveshana,Sagar,"Ravi Teja, Radhika Varma, Bose, Raghu Babu, Jeeva",Thriller,27/DEC/2002,2002
2739,Naaga,D. K. Suresh,"Jr. NTR, Sadha, Jennifer, Raghuvaran, Nassar",Action,10/JAN/2003,2003
2740,Evare Athagadu,Bhanu Shankar,"Vallabh, Jaya Seal, Priyamani, Brahmanandam",Romance,11/JAN/2003,2003
2741,Ee Abbai Chala Manchodu,Agathiyan,"Ravi Teja, Sangeetha, Vani",Drama,14/JAN/2003,2003
2742,Okkadu,Gunasekhar,"Mahesh Babu, Bhoomika Chawla, Prakash Raj",Action / Romance,15/JAN/2003,2003
2743,Pellam Oorelithe,S. V. Krishna Reddy,"Srikanth, Venu, Rakshita, Sangeetha, Brahmanandam, Sunil",Comedy,15/JAN/2003,2003
2744,Juniors,J. Pulla Rao,"Allari Naresh, Sherin, Pawan, Prakash Raj",Romance,24/JAN/2003,2003
2745,Ammayilu Abbayilu,Ravi Babu,"Vijay, Mohit, Vidya, Sonu Sood, Devina, Swapna Madhuri",Romance,30/JAN/2003,2003
2746,Idi Maa Ashokgadi Love Story,Suresh Krissna,"Siva Balaji, Shweta Agarwal, Kanchi Kaul",Romance,31/JAN/2003,2003
2747,Fools,Dasari Narayana Rao,"Dasari Narayana Rao, Srinath, Gajala, Kovai Sarala",Comedy / Romance,6/FEB/2003,2003
2748,Utsaham,Allani Sridhar,"Sai Kiran, Sunitha Varma, Amar",Romance,7/FEB/2003,2003
2749,Kabaddi Kabaddi,Venki,"Jagapati Babu, Kalyani, Surya, Jeeva",Comedy / Romance,16/FEB/2003,2003
2750,Golmaal,P N Ramachandra Rao,"J. D. Chakravarthy, Neha, Ramesh Arvind, Meera Vasudevan, Giri Babu, Jayaprakash, Brahmanandam",Comedy,21/FEB/2003,2003
2751,Indiramma,Ammineni Madhava Sai,"Vijayashanti, Achyuth, Vijayakumar",Social,26/FEB/2003,2003
2752,Vijayam,Singeetham Srinivasa Rao,"Raja, Gajala, Sunil, Murali Mohan",Comedy,9/MAR/2003,2003
2753,Raghavendra,Suresh Krissna,"Prabhas, Shweta Agarwal, Anshu, Brahmanandam, Murali Mohan",Action,28/MAR/2003,2003
2754,Gangotri,K. Raghavendra Rao,"Allu Arjun, Aditi Agarwal, Suman, Prakash Raj",Romance,28/MAR/2003,2003
2755,Hari Villu,B. Narsing Rao,"Bhanuchander, Haritha, Master Sai Subhakar, Baby Nitya",Drama,2/APR/2003,2003
2756,Taarak,Balasekaran,"N. T. Rathnaa, Sharmili, Krishna",Romance,3/APR/2003,2003
2757,Karthik,Murali Raju,"Mukesh, Kanishka",Romance,3/APR/2003,2003
2758,Dil,V. V. Vinayak,"Nitin, Neha, Prakash Raj",Action / Romance,4/APR/2003,2003
2759,Aithe,Chandrashekar Yeleti,"Shashank, Sindhu Tolani, Abhishek, Mohit",Thriller,11/APR/2003,2003
2760,Amma Nanna O Tamila Ammayi,Puri Jagannadh,"Ravi Teja, Asin, Jayasudha, Prakash Raj, Ali",Drama,19/APR/2003,2003
2761,Johnny,Pawan Kalyan,"Pawan Kalyan, Renu Desai, Raghuvaran, M. S. Narayana",Action,25/APR/2003,2003
2762,Dhanush,Nallamothu Srinivasa Rao,"Vadde Naveen, Kiran Gill, Sivaji Raja, Brahmanandam",Action,26/APR/2003,2003
2763,Ottesi Cheputunna,E. Sathi Babu,"Srikanth, Sivaji, Sravanthi, Anitha Patel, Sunil",Comedy,26/APR/2003,2003
2764,Appudappudu,Chandra Siddhartha,"Raja, Sriya Reddy, Jayasudha, Kaikala Satyanarayana",Romance,16/MAY/2003,2003
2765,Maa Babubommaki Pellanta,Raviraja Pinisetty,"Aravind, Gayathri Raguram, Ajay Raghavendra, M. S. Narayana",Comedy,18/MAY/2003,2003
2766,Aayudham,N. Shankar,"Rajasekhar, Sangita, Gurleen Chopra",Action,22/MAY/2003,2003
2767,Nijam,Teja,"Mahesh Babu, Gopichand, Rakshita, Raasi",Drama,23/MAY/2003,2003
2768,Palnati Brahmanayudu,B. Gopal,"Nandamuri Balakrishna, Sonali Bendre, Aarti Agarwal, Mukesh Rishi",Action,5/JUN/2003,2003
2769,Ninne Ishtapaddanu,Konda,"Tarun, Sridevi Vijayakumar, Anitha, Giri Babu",Romance,12/JUN/2003,2003
2770,Oka Raju Oka Rani,Yogi M,"Ravi Teja, Namitha, Brahmanandam, Tanikella Bharani, M. S. Narayana",Romance,19/JUN/2003,2003
2771,Donga Ramudu & Party,Vamsi,"Srikanth, Laya, Chandra Mohan, Kaikala Satyanarayana",Comedy,26/JUN/2003,2003
2772,Simhadri,S. S. Rajamouli,"Jr. NTR, Bhoomika Chawla, Ankitha, Nassar",Action,9/JUL/2003,2003
2773,Vasantam,Vikraman,"Daggubati Venkatesh, Aarti Agarwal, Kalyani, Tanikella Bharani, Sunil",Drama,11/JUL/2003,2003
2774,Kalyana Ramudu,G. Ramprasad,"Venu Thottempudi, Prabhu Deva, Nikita Thukral, Suman, Sunil",Comedy / Drama,18/JUL/2003,2003
2775,Praanam,Malli,"Allari Naresh, Sadha, Seetha, M. S. Narayana, Kovai Sarala",Romance,25/JUL/2003,2003
2776,Shambhu,R. Suresh Verma,"Aryan Rajesh, Sarika, Chandra Mohan, Venu Madhav, Prakash Raj, Sanghavi",Romance,25/JUL/2003,2003
2777,Dhum,Raju Voopati,"Jagapati Babu, Chaitanya Krishna, Neha Mehta, Sonia Agarwal",Action,25/JUL/2003,2003
2778,City,Ambati Subhash,"Mukesh Udeshi, Swapna Reddy, Vaibhavi",Action,25/JUL/2003,2003
2779,Sambaram,K. Dasaradh,"Nitin, Nikita Thukral, Giri Babu, Seetha",Romance,31/JUL/2003,2003
2780,Dongodu,Bheemineni Srinivas,"Ravi Teja, Kalyani, Rekha Vedavyas, Tanikella Bharani",Action / Comedy,7/AUG/2003,2003
2781,Simhachalam,Indra Kumar,"Srihari, Meena, Prakash Raj, Suresh, Sunil",Action,8/AUG/2003,2003
2782,Neeku Nenu Naaku Nuvvu,Raja Shekar,"Uday Kiran, Shriya Saran, Krishnam Raju, Suman",Romance,15/AUG/2003,2003
2783,Anaganaga O Kurraadu,L P Ramarao,"Rohith, Rekha Vedavyas, Rajeev Kanakala",Romance,15/AUG/2003,2003
2784,Charminar,Sagar,"Venkat, Abhirami, Prakash Raj",Romance,15/AUG/2003,2003
2785,Seetayya,YVS Chowdhary,"Nandamuri Harikrishna, Simran, Soundarya, Mukesh Rishi",Action,22/AUG/2003,2003
2786,Aadanthe Ado Type,E. V. V. Satyanarayana,"Sivaji, Aryan Rajesh, Bhoomika Chawla, Anitha Hassandhani",Comedy,30/AUG/2003,2003
2787,Oka Radha Iddaru Krishnula Pelli,G. Nageswara Reddy,"Srikanth, Prabhu Deva, Namitha, Tanikella Bharani, Chandra Mohan",Comedy,5/SEP/2003,2003
2788,Janaki Weds Sriram,Anji,"Rohith, Gajala, Rekha Vedavyas",Romance,12/SEP/2003,2003
2789,Pellamtho Panenti,S. V. Krishna Reddy,"Venu Thottempudi, Laya, Kalyani",Comedy,12/SEP/2003,2003
2790,Okato Number Kurraadu,A. Kodandarami Reddy,"Taraka Ratna, Rekha Vedavyas, Brahmanandam",Action / Romance,18/SEP/2003,2003
2791,Tagore,V. V. Vinayak,"Chiranjeevi, Jyothika, Shriya Saran",Action / Drama,24/SEP/2003,2003
2792,Vishnu,Shaji Kailas,"Vishnu Manchu, Vedhika, Neetu Chandra",Action / Romance,28/SEP/2003,2003
2793,Ela Cheppanu,Ramana,"Tarun, Shriya Saran, Sunil",Romance,2/OCT/2003,2003
2794,Toli Choopulone,Kasi Viswanath,"Kalyan Ram, Akanksha, Charanraj, Sudeepa",Romance / Action,9/OCT/2003,2003
2795,Okariki Okaru,Rasool,"Srikanth, Aarti Chabria, Balayya, Tanikella Bharani",Romance,10/OCT/2003,2003
2796,Ori Nee Prema Bangaram Kaanu,AVS,"Rajesh Krishnan, Sangeetha, Giri Babu, Bramhanandam",Romance,16/OCT/2003,2003
2797,Sivamani,Puri Jagannadh,"Nagarjuna, Asin Thottumkal, Rakshita, Prakash Raj",Action,23/OCT/2003,2003
2798,Veede,Ravi Raja Pinisetty,"Ravi Teja, Reema Sen, Aarti Agarwal, Shayaji Shinde",Action,31/OCT/2003,2003
2799,Srirama Chandrulu,Srikanth,"Rajendra Prasad, Sivaji, Raasi, Rambha, Sindhu Menon, Brahmanandam, Kovai Sarala, Venu Madhav",Comedy,7/NOV/2003,2003
2800,Nenu Seethamahalaxmi,G Nageshwara Reddy,"Rohith, Shravya, Chalapathi Rao",Romance,8/NOV/2003,2003
2801,Abhimanyu,A Mallikarjun,"Kalyan Ram, Divya Spandana, Suhasini, Sowcar Janaki, Ali",Romance,12/NOV/2003,2003
2802,Goa,P. Kishore Kumar,"Sumit Roy, Subhash Chandra, Krishna Teja",Drama,14/NOV/2003,2003
2803,Nenu Pelliki Ready,Venky,"Srikanth, Laya, Sangeetha, Anitha Hassandani",Comedy,14/NOV/2003,2003
2804,Back Pocket,,"Vijay Sai, Sony Raj, Suman, Lavanya, Preeti Nigam, Anant, Sudarshan, Jenny, Seema, Vinod Bala",Romance,14/NOV/2003,2003
2805,Villain,K. S. Ravikumar,"Rajasekhar, Neha Dhupia, Tulip Joshi, Naresh",Thriller / Action,21/NOV/2003,2003
2806,Chantigadu,Jaya,"Baladithya, Suhasini, Saranya, Brahmanandam",Romance,26/NOV/2003,2003
2807,Missamma,Neelakanta,"Bhoomika Chawla, Sivaji, Laya, Tanikella Bharani",Drama,28/NOV/2003,2003
2808,Nee Manasu Naaku Telusu,Jyoti Krishna,"Tarun, Trisha Krishnan, Shriya Saran, Sunil, Reema Sen, Archana Puran Singh",Romance,6/DEC/2003,2003
2809,Maa Alludu Very Good,E V V Satyanarayana,"Rajendra Prasad, Allari Naresh, Ramya Krishna, Mounika, Kovai Sarala",Comedy,6/DEC/2003,2003
2810,Neeke Manasichaanu,Surya Teja,"Srikanth, Charmee Kaur, Anvithaa, Brahmanandam",Romance,12/DEC/2003,2003
2811,Avuna,C. Uma Maheshwar Rao,"Adarsh, Santhi Rao, Kota Srinivasa Rao",Romance,12/DEC/2003,2003
2812,Tiger Harischandraprasad,V. Samudra,"Nandamuri Harikrishna, Ramya Krishna, Sangeetha, Kota Srinivasa Rao",Action,18/DEC/2003,2003
2813,Satyam,Surya Kiran,"Sumanth, Genelia D'Souza, Brahmanandam, Kota Srinivasa Rao",Romance / Action,19/DEC/2003,2003
2814,Andhrawala,Puri Jagannadh,"Jr. NTR, Rakshita, Shayaji Shinde, Rahul Dev, Sanghavi",Action,1/JAN/2004,2004
2815,Lakshmi Narasimha,Jayanth C. Paranjee,"Nandamuri Balakrishna, Asin Thottumkal, Prakash Raj, K. Vishwanath, Sunil, Brahmanandam",Action,14/JAN/2004,2004
2816,Varsham,Sobhan,"Prabhas, Trisha Krishnan, Gopichand, Prakash Raj, Sudha Chandran",Romance/action,14/JAN/2004,2004
2817,Anji,Kodi Ramakrishna,"Chiranjeevi, Namrata Shirodkar, Tinnu Anand, M. S. Narayana",Action,15/JAN/2004,2004
2818,Athade Oka Sainyam,S. V. Krishna Reddy,"Jagapati Babu, Neha, Suman, Prakash Raj",Drama,23/JAN/2004,2004
2819,Vegu Chukkalu,R. Narayana Murthy,"R Narayana Murthy, Murali Mohan, Prabha, LB Sriram",Action,30/JAN/2004,2004
2820,Ika Antha Subhame Pelli Jaripinchandi,Thota Krishna,"Sai Kiran, Priya Sahadevan, Vijayabhaskar, Priyanka Naidu",Romance,30/JAN/2004,2004
2821,Love Today,Arputham,"Uday Kiran, Divya Khosla, Tanikella Bharani, Sunil",Romance,5/FEB/2004,2004
2822,Anandamanandamaye,Srinu Vaitla,"Jai Akash, Renuka Menon, J. D. Chakravarthy, Preeti Jhangiani, Sunil",Romance,6/FEB/2004,2004
2823,Aaruguru Pathivrathulu,E. V. V. Satyanarayana,"Vidya, Harika, Neetha, Amrutha, Lahari, Shanti Rao, Chalapathi Rao",Adult Romance,6/FEB/2004,2004
2824,Tapana,Tejas Dhanraj,"Prabhu Deva, Siddardha, Maahi, Seema, Archana",Romance,13/FEB/2004,2004
2825,Dharma,K N Nageshwara Rao,"Sreeman, Keerthi Chawla, Siva Reddy",Action,13/FEB/2004,2004
2826,Sunday,Achyuta Reddy,"Sanjay, Mamatha, Suhasini",Drama,13/FEB/2004,2004
2827,Malliswari,Vijaya Bhaskar,"Venkatesh, Katrina Kaif, Kota Srinivasa Rao, Brahmanandam",Romance,18/FEB/2004,2004
2828,Swetha Naagu,Sanjeevi,"Soundarya, Abbas, Sarath Babu, Dharmavarapu Subramanyam, Brahmanandam",Fantasy Thriller,18/FEB/2004,2004
2829,CBI Officer,D Ranga Rao,"Krishna, Naresh",Action,18/FEB/2004,2004
2830,Mee Intikoste Yemistaru Ma Intikoste Yem Testaru,Raja Vannemreddy,"Aditya Om, Sangeetha, Sunil, Brahmanandam, Kovai Sarala, Radhika Chowdhary",Comedy,27/FEB/2004,2004
2831,Abbayi Premalo Paddadu,Kota Babu,"Ramana, Anita Patel, Siva Krishna",Romance,27/FEB/2004,2004
2832,Sorry Naaku Pellaindi,Gandhi,"Raghu, Ruthika, Raghu Babu, Lahari",Romance,5/MAR/2004,2004
2833,Guri,Bharat,"Srihari, Vadde Naveen, Sanghavi",Action,5/MAR/2004,2004
2834,Enjoy,T. N. Raju,"Ajay, Chitra, Badrinath, Jaya Prakash Reddy",Romance,5/MAR/2004,2004
2835,Satta,Lakshman,"Sai Kiran, Madurima, Kota Sreenivas Rao, Banerji",Action,13/MAR/2004,2004
2836,Jai,Teja,"Navdeep, Santhoshi, Ayesha Jhulka",Drama / Romance,25/MAR/2004,2004
2837,Venky,Srinu Vaitla,"Ravi Teja, Sneha, Ashutosh Rana, Brahmanandam",Action,26/MAR/2004,2004
2838,Seenu Vasanthi Lakshmi,N. M. Suresh,"R. P. Patnaik, Priya, Navneet Kaur, Prakash Raj, Giri Babu",Drama,26/MAR/2004,2004
2839,Avunu Nijame,Rafi,"Rafi, Tanu Roy, Brahmanandam",Drama,1/APR/2004,2004
2840,Premante Maade,L. Venu,"Vinay Babu, Reena, Rashmi, Amar, Vizag Prasad, Mallikharjuna Rao",Romance,1/APR/2004,2004
2841,Kaasi,Lakshmi Srinivas,"J. D. Chakravarthy, Keerthi Chawla",Romance,2/APR/2004,2004
2842,Sankharavam,A. Mohana Gandhi,"Sarath Babu, Srinath, Rajiv Kanakala, Raja, Krishna Bhagavaan",Action,2/APR/2004,2004
2843,Yours Abhi,Kiran,"Kamalakar, Sonali Joshi, Teja Sri, Suresh, Satya Prakash",Romance,2/APR/2004,2004
2844,Nenunnanu,V. N. Aditya,"Nagarjuna, Shriya Saran, Aarti Agarwal, Ali",Romance,7/APR/2004,2004
2845,Puttintiki Ra Chelli,Kodi Ramakrishna,"Arjun, Meena, Swati, Srinath, Sivaji Raja",Drama,14/APR/2004,2004
2846,Nenu,E. Sathibabu,"Allari Naresh, Veda Shastry, Abhishek",Romance,14/APR/2004,2004
2847,Kushi Kushiga,G. Ram Prasad,"Jagapati Babu, Venu Thottempudi, Sangeetha, Nikita Thukral, Ramya Krishna",Drama,16/APR/2004,2004
2848,Preminchukunnam Pelliki Randi,Relangi Narasimha Rao,"Aditya Om, Rekha Vedavyas, Vijay Sai, Revathi, Jeeva",Action,22/APR/2004,2004
