,Title,Director,Cast,Genre,Date,Year
125,Valmiki,Ellis R. Dungan,"Narasmiha Rao, Mani","Biography",,1945
126,Aadarsham,"H. V. Babu",Jaggayya,"Social",,1952
127,Aakali,"K. J. Mohan Rao",Thikkurissy Sukumaran Nair,"Social",,1952
128,Athinti Kapuram,Acharya,M. N. Nambiar,"Drama",,1952
129,Chinna Kodalu,Ghantasala Balaramayya,C. H. Narayana Rao,"Social",,1952
130,Chinnamma Katha,S. V. S. Rama Rao,Govindarajula Subba Rao,"Social",,1952
131,Daasi,L. V. Prasad,N. T. Rama Rao,"Drama",,1952
132,Dharma Devatha,P. Pullaiah,P. Shanthakumari,"Drama",,1952
133,Kanchana,S. M. Sriramulu Naidu,K. R. Ramaswamy,"Social",,1952
134,Manavathi,Y. V. Rao,C. H. Narayana Rao,Devotional,,1952
135,Maradalu Pelli,Mukkamala,Mukkamala,"Drama",,1952
136,Mugguru Kodukulu,R. Nagendra Rao,M. K. Radha,"Social",,1952
137,Palletooru,T. Prakash Rao,N. T. Rama Rao,"Social",,1952
138,Peda Raithu,K. B. Nagabhushanam,"M. Srirama Murthy, ","Drama",,1952
139,Pelli Chesi Choodu,L. V. Prasad,N. T. Rama Rao,"Social",,1952
140,Praja Seva,"K. Prabhakar Rao",C. Lakshmi Rajyam,"Drama",,1952
141,Prema,P. S. Ramakrishna Rao,A. Nageswara Rao,"Drama",,1952
142,Priyuralu,T. Gopichand,"Lakshmikantam, ","Drama",,1952
143,Rajeswari,R. Padmanaban,"M. Srirama Murthy, ","Folklore",,1952
144,Sahasam,"Raja of Mirjapur","Prabhakar Rao, ","Folklore",,1952
145,Sankranti,C. Pullaiah,"Chandrashekar, ","Drama",,1952
146,Santhi,Vedantam Raghavaiah,Govindarajula Subba Rao,"Drama",,1952
147,Savati Poru,T. R. Sundaram,"G. Muthukrishnan, ","Epic",,1952
148,Singari,T. R. Raghunath,T. R. Ramachandran,"Drama",,1952
149,Suvarna Mala,"K. Sadasiva Rao","Aarani Suryanarayana, Surabhi Balasaraswathi","Drama",,1952
150,Tingu Ranga,B. A. Subba Rao,"M. Srirama Murthy, ","Drama",,1952
151,Aada Bidda,Erra Apparao,R. Nageswara Rao,Drama,,1955
152,Anarkali,Vedantam Raghavaiah,Akkineni Nageswara Rao,Historical,,1955
153,Antha Inthe,"R. M. Krishnasami",Sivaji Ganesan,"",,1955
154,Ante Kaavali,K. S. Prakash Rao,Jaggayya,Drama,,1955
155,Ardhangi,P. Pullaiah,Savitri,Drama,,1955
156,Athanu Evaru,Antony Mitradas,Prem Nazir,"",,1955
157,Bangaru Papa,B. N. Reddi,S. V. Ranga Rao,Drama,,1955
158,Beedhala Aasthi,D. L. Ramachander,Gummandi,Drama,,1955
159,Cherapakura Chedevu,K. Bhaskar Rao,N. T. Rama Rao,Drama,,1955
160,Donga Ramudu,K. V . Reddy,Akkineni Nageswara Rao,Drama,,1955
161,Jayasimha,D. Yoganand,N. T. Rama Rao,Historical,,1955
162,Kanyadhanam,B. Vittalacharya,Kanta Rao,Historical,,1955
163,Kanyashulkam,P. Pullaiah,N. T. Rama Rao,Drama,,1955
164,Missamma,L. V. Prasad,N. T. Rama Rao,Drama,,1955
165,Pasupu Kumkuma,G. D. Joshi,G. Varalakshmi,Drama,,1955
166,Pathiye Prathyaksha Dhaivamu,T. R. Raghunath,Gemini Ganesan,"",,1955
167,Rojulu Marayi,Tapi Chanakya,Akkineni Nageswara Rao,Drama,,1955
168,Santhanam,C. V. Ranganatha Dasu,Akkineni Nageswara Rao,Drama,,1955
169,Santosham,C. P. Dixit,N. T. Rama Rao,Drama,,1955
